id,name,city,rating,rating_count,cost,cuisine,lic_no,link,address,menu
405960,CAKE FEAST,"Mogappair,Chennai",4.6,20+ ratings,280.0,"Bakery,Desserts",2.24215E+13,https://www.swiggy.com/restaurants/cake-feast-mogappair-chennai-405960,"CAKE FEAST, NILGIRIS SUPERMARKET CHANDRIKAA HOMENEEDS ENTRANCE, 666&667, SCHOOL ROAD, ANNANAGAR WEST EXTN, Chennai, Tamil Nadu - 600101",Menu/405960.json
42348,BBQ Ride India @ OMR Food Street,"OMR Navalur,Chennai",4.6,20+ ratings,200.0,"Grill,Indian",2.24171E+13,https://www.swiggy.com/restaurants/bbq-ride-india-omr-food-street-omr-food-street-navalur-chennai-42348,"BBQ Ride India @ OMR Food Street, 92, Old Mahabalipuram Road, Navallur, Chennai, Tamil Nadu 600119, India",Menu/42348.json
103251,Fruzo Cane Juicery,"Thrippunithura,Kochi",4.6,20+ ratings,200.0,"Juices,Beverages",2.13212E+13,https://www.swiggy.com/restaurants/fruzo-cane-juicery-karingachira-thrippunithura-kochi-103251,"Fruzo Cane Juicery, Karingachira,Oppo.Passport Office,Thrippunithura",Menu/103251.json
431899,California Burrito,"Kukatpally,Hyderabad",4.6,100+ ratings,250.0,Mexican,1.3621E+13,https://www.swiggy.com/restaurants/california-burrito-kukatpally-hyderabad-431899,"California Burrito, California burrito, Food Court, 3rd Floor, Forum Sujana Mall, Housing Board Rd, KPHB Phase - 9, Kukatpally, Hyderabad - 500085",Menu/431899.json
337493,Kelvin Scale,"Nungambakkam,Chennai",4.6,20+ ratings,150.0,Ice Cream,2.24215E+13,https://www.swiggy.com/restaurants/kelvin-scale-nungambakkam-thousand-lights-chennai-337493,"Kelvin Scale, 2,(Adjacent to Subway,YLG Salon)Wallace Garden 2nd Street,Thousand Lights West,Nungambakkam,Chennai - 600006",Menu/337493.json
388669,Bangalir Hensel,"Behala,Kolkata",4.6,100+ ratings,300.0,"Bengali,Indian",1.2818E+13,https://www.swiggy.com/restaurants/bangalir-hensel-behala-kolkata-388669,"Bangalir Hensel, 13/E, Biren Roy Road West, Purba Barisha, Barisha,  Kolkata, West Bengal- 700008",Menu/388669.json
344242,Flying Kombucha,"Whitefield,Bangalore",4.6,20+ ratings,200.0,"American,Beverages",2.12212E+13,https://www.swiggy.com/restaurants/flying-kombucha-whitefield-bangalore-344242,"Flying Kombucha, Converge by UKN, 78/2, Siddapura, Village, Nellurhalli, Road, Varthur, Hobli, Siddapura, Whitefield, Bengaluru, Karnataka, 560066 560066",Menu/344242.json
192023,Pradeep Sweets,"Bhosari,Pune",4.6,100+ ratings,250.0,Sweets,1.1516E+13,https://www.swiggy.com/restaurants/pradeep-sweets-bhosari-pune-192023,"Pradeep Sweets, Spine City Mall, Spine Road, Sector 10, Sector No. 9, Moshi, Pimpri-Chinchwad, Maharashtra, India",Menu/192023.json
454877,Kwality Walls Frozen Dessert and Ice Cream Shop,"Kammanahalli/Kalyan Nagar,Bangalore",4.6,20+ ratings,200.0,"Ice Cream,Desserts",2.12212E+13,https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-kammanahalli-kalyan-nagar-bangalore-454877,"Kwality Walls Frozen Dessert and Ice Cream Shop, BALA KUMAR DEVARAJU: 33, Amrutha Nagar, Near st rocks Church, chelekere, mahadevpura, B.B.M.P East, Karnataka-560043",Menu/454877.json
365627,Domino's Pizza,Kannur,4.6,50+ ratings,400.0,Pizzas,1.14219E+13,https://www.swiggy.com/restaurants/dominos-pizza-central-thavakkara-kannur-365627,"Domino's Pizza, Ground Floor, Kannur Central Mall,situated at R.S. Nos/ T.S. No. 831 and 832/1,Block No-16, Ward No-3,Kannur, Kerala- 670001",Menu/365627.json
179792,The Betel Leaf Co.,"Kammanahalli/Kalyan Nagar,Bangalore",4.6,100+ ratings,200.0,"Paan,Desserts",2.12212E+13,https://www.swiggy.com/restaurants/the-betel-leaf-co-kammanahalli-kalyan-nagar-kacharakanahalli-bangalore-179792,"The Betel Leaf Co., 210, 1 st A cross road , Rajanna Building,Kanakadasa road,near CMR school, Bangalore -560084",Menu/179792.json
359790,Grameen Kulfi,"South Mohali,Chandigarh",4.6,50+ ratings,120.0,"Ice Cream,Desserts",1.21208E+13,https://www.swiggy.com/restaurants/grameen-kulfi-south-mohali-kumbra-chandigarh-359790,"Grameen Kulfi, SCO NO 10 SECTOR 68 VILLAGE KUMBRA SAS NAGAR MOHALI,PUNJAB 160062",Menu/359790.json
552900,Chai Pearl,"Koramangala,Bangalore",4.6,20+ ratings,200.0,"Beverages,Snacks",2.12222E+13,https://www.swiggy.com/restaurants/chai-pearl-koramangala-bangalore-552900,"Chai Pearl, 71, 1st A Main Rd, Angalamma, Mallappa Reddy Layout, Koramangala 8th Block, Koramangala, Bengaluru, Karnataka 560095, India",Menu/552900.json
290351,Ebony,"Central Bangalore,Bangalore",4.6,100+ ratings,1000.0,"North Indian,Tandoor",1.12143E+13,https://www.swiggy.com/restaurants/ebony-central-ashok-nagar-bangalore-290351,"Ebony, 13th Floor, Barton Centre, no.84 MG Road",Menu/290351.json
316713,FruitoHolic,"Madhapur,Hyderabad",4.6,100+ ratings,400.0,"Juices,Salads",license,https://www.swiggy.com/restaurants/fruitoholic-madhapur-film-nagar-hyderabad-316713,"FruitoHolic, Hno: B37, JH Film Nagar, Jubilee Hills, Road No: 92, Hyderabad-500096",Menu/316713.json
512679,Kulfi Nation,"Madhapur,Hyderabad",4.6,20+ ratings,200.0,"Desserts,Ice Cream",2.3622E+13,https://www.swiggy.com/restaurants/kulfi-nation-madhapur-hyderabad-512679,"Kulfi Nation, Plot no 1-36, guttalabegampet,madhapur, serligampallcircleno20,Hyderabad,Telangana 500034",Menu/512679.json
497362,The Brooklyn Creamery - Healthy Ice Cream,"Madhapur,Hyderabad",4.6,20+ ratings,200.0,"Desserts,Ice Cream",2.3622E+13,https://www.swiggy.com/restaurants/the-brooklyn-creamery-healthy-ice-cream-serlingampally-madhapur-hyderabad-497362,"The Brooklyn Creamery - Healthy Ice Cream, Plot Number 1-36, Guttalabegampet, Madhapur, Serlingampally, Hyderabad - 500081",Menu/497362.json
499544,Iceberg Organic Icecreams,"Madhapur,Hyderabad",4.6,20+ ratings,200.0,"Ice Cream,Beverages",1.3618E+13,https://www.swiggy.com/restaurants/iceberg-organic-icecreams-madhapur-hyderabad-499544,"Iceberg Organic Icecreams, Plot 1144, Road 56 Ayyappa society, Madhapur, Hyderabad, telangana,500081.",Menu/499544.json
486729,A2B-veg,"Mylapore,Chennai",4.6,500+ ratings,250.0,"South Indian,North Indian",1.2417E+13,https://www.swiggy.com/restaurants/a2b-veg-mylapore-chennai-486729,"A2B-veg, NO.70, Ramakrishna Mutt Rd, Venkatesa Agraharam, Mylapore, Chennai, Tamil Nadu 600004",Menu/486729.json
509218,Swaad Veg,"Madhapur,Hyderabad",4.6,20+ ratings,500.0,"North Indian,Chinese",1.3621E+13,https://www.swiggy.com/restaurants/swaad-veg-madhapur-hyderabad-509218,"Swaad Veg, KRAFT KITCHEN, PLOT NO 15, SY NO 1007, CENTURY HILLS, NEAR AYYAPPA SOCIETY,  MADHAPUR, HYDERABAD - 500081",Menu/509218.json
304582,Fabelle Chocolates - ITC Kohenur,"Madhapur,Hyderabad",4.6,50+ ratings,600.0,"Bakery,Desserts",1.0018E+13,https://www.swiggy.com/restaurants/fabelle-chocolates-itc-kohenur-madhapur-hitec-city-hyderabad-304582,"Fabelle Chocolates - ITC Kohenur, ITC Kohenur, Knowledge City, Plot No.5, Survey No. 83/1 Survey No.83/1, Hyderabad, Madhapur, Hyderabad, Telangana 500081",Menu/304582.json
307540,SMOOR,"HSR,Bangalore",4.6,100+ ratings,350.0,"Desserts,Bakery",2.12202E+13,https://www.swiggy.com/restaurants/smoor-hsr-hsr-layout-bangalore-307540,"SMOOR, 1,120, 14th Main Road, 5th Sector, HSR Layout, HSR, Bangalore 560102",Menu/307540.json
421637,GetAWhey - Healthy Ice creams.,"Greater Kailash 2,Delhi",4.6,20+ ratings,250.0,"Ice Cream,Healthy Food",2.3321E+13,https://www.swiggy.com/restaurants/getawhey-healthy-ice-creams-greater-kailash-2-delhi-421637,"GetAWhey - Healthy Ice creams., shop 43, DDA auto shopping complex center, zamratpur, greater Kailash 1, new delhi",Menu/421637.json
59146,Krispy Kreme,"Central Bangalore,Bangalore",4.6,100+ ratings,170.0,"Desserts,Beverages",1.12213E+13,https://www.swiggy.com/restaurants/krispy-kreme-ground-floor-campbell-rd-xavier-layout-victoria-layout-bangalore-59146,"Krispy Kreme, Krispy Kreme Doughnuts, W-76, Adarsh Opus, Campbell Road, Austin Town, Bangalore - 560 047",Menu/59146.json
355749,Grameen Kulfi,"Madhapur,Hyderabad",4.6,50+ ratings,120.0,"Ice Cream,Desserts",2.3621E+13,https://www.swiggy.com/restaurants/grameen-kulfi-madhapur-siddhi-vinayak-nagar-hyderabad-355749,"Grameen Kulfi, Ground Floor,Plot No 31, kavuri Hills, Guttala, Begumpeth, Madhapur, Hyderabad, Circle no 11( Srilingampally-1), Hyderabad West Zone, Telanagana-500033",Menu/355749.json
526304,GRILL NIGHTS,Theni,4.6,20+ ratings,350.0,"Arabian,Snacks",2.24225E+13,https://www.swiggy.com/restaurants/grill-nights-theni-theni-526304,"GRILL NIGHTS, kallar society complex madurai road theni",Menu/526304.json
337861,Azuki Japan Travel  Bistro And Sake,"Central Bangalore,Bangalore",4.6,50+ ratings,1200.0,"Japanese,Asian",1.12203E+13,https://www.swiggy.com/restaurants/azuki-japan-travel-bistro-and-sake-richmond-town-central-bangalore-bangalore-337861,"Azuki Japan Travel  Bistro And Sake, 11/1, Alfred Street, Richmond Town,, Behind Baldwin Boys High School Back Gate, Bengaluru, Karnataka 560025",Menu/337861.json
360255,Cakelers,Alappuzha,4.6,50+ ratings,150.0,"Bakery,Beverages",1.1321E+13,https://www.swiggy.com/restaurants/cakelers-city-sea-view-ward-alappuzha-360255,"Cakelers, GROUND FLOOR, SAS MAHAL COMPLEX, SEA VIEW WARD, Alappuzha, Kerala",Menu/360255.json
55710,Ladli Fast Food,"Paldi & Ambawadi,Ahmedabad",4.6,20+ ratings,250.0,"Italian,Chinese",1.0717E+13,https://www.swiggy.com/restaurants/ladli-fast-food-paldi-ahmedabad-55710,"Ladli Fast Food, 5, Sapnay Complex, Opposite Suvidha Complex, Paldi, Ahmedabad",Menu/55710.json
257087,Cakemellow,Alappuzha,4.6,20+ ratings,400.0,Bakery,2.13182E+13,https://www.swiggy.com/restaurants/cakemellow-city-kanjiramchira-alappuzha-257087,"Cakemellow, Nirmalyam, Aarattuvazhi Ward, Alappuzha",Menu/257087.json
41995,Theobroma,Bikaner,4.6,500+ ratings,800.0,"Desserts,Bakery",1.00178E+13,https://www.swiggy.com/restaurants/theobroma-galleria-sector-28-gurgaon-41995,"Theobroma, Ground Floor, Galleria Market, Opposite Ferns & Petals, DLF Phase 4, Gurgaon",Menu/41995.json
226779,Chikkanna Tiffin Room(Cubbonpet),"Majestic,Bangalore",4.6,50+ ratings,200.0,"South Indian,Snacks",1.12193E+13,https://www.swiggy.com/restaurants/chikkanna-tiffin-room-cubbonpet-cubbonpet-majestic-bangalore-226779,"Chikkanna Tiffin Room(Cubbonpet), #32, 30th Cross Rd, Kanchan Nagar, Cubbonpete, Nagarathpete, Bengaluru, Karnataka 560002, India",Menu/226779.json
414238,The Brooklyn Creamery - Healthy Ice Cream,"Koramangala,Bangalore",4.6,20+ ratings,200.0,"Desserts,Ice Cream",2.12212E+13,https://www.swiggy.com/restaurants/the-brooklyn-creamery-healthy-ice-cream-koramangala-industrial-layout-bangalore-414238,"The Brooklyn Creamery - Healthy Ice Cream, Hyderabad Biryani House . NO.44, SRIKANTA COMPLEX, FIRST FLOOR, 4TH B CROSS, KORAMANGALA INDUSTRIAL LAYOUT, KORAMANGALA WARD NO.151-BANGALORE, INDIA , BTM Layout , B.B.M.P South, Karnataka-560095",Menu/414238.json
325691,Rollsnama,"Indirapuram,Delhi",4.6,20+ ratings,200.0,"Tandoor,Snacks",1.27201E+13,https://www.swiggy.com/restaurants/rollsnama-sector-18-indirapuram-noida-1-325691,"Rollsnama, G-1, GROUND FLOOR PLOT NUMBER NK - 1/577, INDIRAPURAM GHAZIABAD, Ghaziabad Nagar Nigam Zone-6, Ghaziabad, Uttar Pradesh",Menu/325691.json
43399,Counter Culture Coffee,"Dilshad Gardens,Delhi",4.6,50+ ratings,300.0,"Bakery,Beverages",2.3318E+13,https://www.swiggy.com/restaurants/counter-culture-coffee-vivek-vihar-jhilmil-colony-delhi-43399,"Counter Culture Coffee, C-206 jhilmil colony near Ananda dairy , 110095",Menu/43399.json
443975,Cakes and Berrys,"Porur,Chennai",4.6,20+ ratings,250.0,Bakery,1.2421E+13,https://www.swiggy.com/restaurants/cakes-and-berrys-porur-chennai-443975,"Cakes and Berrys, 195, Trunk Rd, Indrani Nagar, Thiruveedhi Amman Koil Streets, Porur, Chennai - 600056",Menu/443975.json
128231,Euphoria,"Manikonda,Hyderabad",4.6,50+ ratings,600.0,Desserts,1.3618E+13,https://www.swiggy.com/restaurants/euphoria-manikonda-shaikpet-hyderabad-128231,"Euphoria, H. No. 8-1-284/OU/443/A, Inside Pop O'Bob Store, Ground Floor Osmania University Colony Shaikpet, Manikonda, Hyderabad, Telangana 500008",Menu/128231.json
253843,Kwality Walls Frozen Dessert and Ice Cream Shop,"East Chd,Chandigarh",4.6,100+ ratings,100.0,"Desserts,Ice Cream",1.3016E+13,https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-west-chd-sector-22-chandigarh-253843,"Kwality Walls Frozen Dessert and Ice Cream Shop, ""PANCHRATAN	SCO 2446, SEC 22C, CHANDIGARH	160022""",Menu/253843.json
528844,CakeZone,"Mahadevpura,Bangalore",4.6,20+ ratings,200.0,"Desserts,Bakery",1.12223E+13,https://www.swiggy.com/restaurants/cakezone-mahadevpura-bangalore-528844,"CakeZone, KHATHA NO.101/267, 268/11, GROUND FLOOR, SRI VINAYAKA TECH PARK, HOODI, GRAPHITE MAIN ROAD, HOODI VILLAGE, BANGALORE, Mahadevapura , B.B.M.P East, Karnataka-560048",Menu/528844.json
